CustomerName,Age,MaritalStatus,IncomeRange,Gender,TotalChildren,ChildrenAtHome,Education,Occupation,HomeOwner,Cars
Joko Sari,37,sudah menikah,143051,laki-laki,0,4,S2,clerical work,memiliki rumah sendiri,2
Fitri Wahyuni,27,belum menikah,148327,perempuan,0,1,Post-graduate,management,memiliki rumah sendiri,3
Joko Mahendra,63,sudah menikah,74469,perempuan,0,0,Post-graduate,sales,memiliki rumah sendiri,1
Usman Anggraini,49,belum menikah,130896,perempuan,3,0,S2,skilled manual work,tidak memiliki rumah sendiri,1
Taufik Rachman,53,sudah menikah,112756,perempuan,2,0,S1,skilled manual work,tidak memiliki rumah sendiri,1
Maya Purnomo,23,belum menikah,103593,perempuan,3,0,S2,unskilled manual work,tidak memiliki rumah sendiri,3
Maya Mahendra,34,sudah menikah,143886,laki-laki,0,5,Post-graduate,sales,memiliki rumah sendiri,2
Cahyadi Fauzan,68,belum menikah,141532,laki-laki,5,3,Post-graduate,professional,tidak memiliki rumah sendiri,2
Kartini Wibowo,32,belum menikah,33123,perempuan,3,0,S1,unskilled manual work,memiliki rumah sendiri,1
Dewi Wibowo,32,sudah menikah,124807,laki-laki,5,1,S3,professional,tidak memiliki rumah sendiri,1
Kartini Wahyuni,48,sudah menikah,74878,laki-laki,5,1,S1,management,tidak memiliki rumah sendiri,2
Hadi Wibowo,61,sudah menikah,138310,laki-laki,2,0,S1,professional,memiliki rumah sendiri,2
Indra Susanto,40,belum menikah,32076,perempuan,1,0,S2,sales,tidak memiliki rumah sendiri,2
Zainab Wibowo,22,belum menikah,79717,perempuan,0,2,S3,skilled manual work,tidak memiliki rumah sendiri,1
Cahyadi Hakim,33,belum menikah,67276,perempuan,2,0,S1,unskilled manual work,memiliki rumah sendiri,0
Siti Haryanto,20,sudah menikah,79128,laki-laki,3,2,S1,sales,memiliki rumah sendiri,3
Vina Susanto,49,belum menikah,62639,perempuan,2,0,S1,sales,memiliki rumah sendiri,0
Maya Pratama,32,belum menikah,34045,perempuan,5,3,Post-graduate,skilled manual work,memiliki rumah sendiri,3
Indra Wahyuni,50,sudah menikah,143509,laki-laki,4,2,S1,sales,tidak memiliki rumah sendiri,0
Joko Anggraini,31,belum menikah,133993,perempuan,0,0,S1,management,memiliki rumah sendiri,1
Putri Wahyuni,21,sudah menikah,107612,laki-laki,1,0,SMA,unskilled manual work,tidak memiliki rumah sendiri,0
Agus Purnomo,21,belum menikah,63957,laki-laki,0,2,S1,professional,memiliki rumah sendiri,2
Eko Saputra,31,sudah menikah,62418,perempuan,3,2,SMA,clerical work,tidak memiliki rumah sendiri,0
Putri Muliawan,19,belum menikah,76829,perempuan,2,5,Post-graduate,clerical work,memiliki rumah sendiri,1
Wati Anggraini,18,belum menikah,54187,laki-laki,2,3,S3,sales,tidak memiliki rumah sendiri,1
Usman Santoso,45,belum menikah,51493,perempuan,5,4,S2,unskilled manual work,tidak memiliki rumah sendiri,3
Fitri Mahendra,57,belum menikah,26832,perempuan,2,5,SMA,clerical work,memiliki rumah sendiri,0
Vina Purnomo,47,sudah menikah,24178,perempuan,2,5,S3,skilled manual work,tidak memiliki rumah sendiri,1
Gita Putra,19,sudah menikah,26919,perempuan,5,1,S2,skilled manual work,memiliki rumah sendiri,1
Hadi Muliawan,52,belum menikah,50790,perempuan,5,0,Post-graduate,sales,memiliki rumah sendiri,2
Maya Wahyuni,47,sudah menikah,98513,laki-laki,3,1,SMA,professional,tidak memiliki rumah sendiri,3
Dewi Utomo,59,belum menikah,33298,laki-laki,4,4,S3,skilled manual work,tidak memiliki rumah sendiri,1
Budi Susanto,27,belum menikah,74728,perempuan,0,0,Post-graduate,professional,tidak memiliki rumah sendiri,3
Usman Setiawan,34,sudah menikah,21833,laki-laki,2,2,S1,professional,tidak memiliki rumah sendiri,3
Rizki Anggraini,50,sudah menikah,31181,perempuan,4,2,S2,clerical work,memiliki rumah sendiri,3
Kartini Hakim,18,sudah menikah,22335,perempuan,2,0,Post-graduate,unskilled manual work,memiliki rumah sendiri,1
Zainab Haryanto,40,sudah menikah,92578,laki-laki,0,1,SMA,unskilled manual work,memiliki rumah sendiri,1
Nina Purnomo,42,sudah menikah,78552,laki-laki,1,1,SMA,professional,tidak memiliki rumah sendiri,1
Budi Haryanto,54,sudah menikah,54283,laki-laki,3,0,Post-graduate,professional,memiliki rumah sendiri,1
Taufik Putra,54,sudah menikah,77362,perempuan,4,4,S1,skilled manual work,memiliki rumah sendiri,0
Agus Wahyuni,31,belum menikah,56735,laki-laki,3,0,S1,clerical work,memiliki rumah sendiri,0
Fitri Pratama,19,sudah menikah,33149,perempuan,2,1,SMA,unskilled manual work,memiliki rumah sendiri,2
Hadi Sari,57,sudah menikah,54007,perempuan,4,0,Post-graduate,skilled manual work,memiliki rumah sendiri,2
Wati Hidayat,65,sudah menikah,79384,perempuan,4,2,S3,skilled manual work,tidak memiliki rumah sendiri,1
Kartini Susanto,31,belum menikah,39484,perempuan,4,0,S3,management,memiliki rumah sendiri,0
Wati Sari,32,belum menikah,124427,laki-laki,2,2,S2,professional,tidak memiliki rumah sendiri,2
Joko Pratama,26,belum menikah,61148,laki-laki,5,4,S3,sales,tidak memiliki rumah sendiri,1
Siti Sari,40,sudah menikah,82030,laki-laki,0,1,S3,skilled manual work,memiliki rumah sendiri,2
Maya Pratama,48,sudah menikah,127382,perempuan,4,3,S1,skilled manual work,memiliki rumah sendiri,2
Vina Utomo,20,sudah menikah,140529,perempuan,1,1,S1,unskilled manual work,tidak memiliki rumah sendiri,0
Fitri Muliawan,50,sudah menikah,68374,laki-laki,4,2,S2,clerical work,memiliki rumah sendiri,3
Joko Utomo,61,sudah menikah,54250,laki-laki,2,1,S1,professional,memiliki rumah sendiri,0
Eko Wijaya,54,sudah menikah,109266,perempuan,5,0,Post-graduate,unskilled manual work,memiliki rumah sendiri,3
Zainab Setiawan,34,sudah menikah,68575,laki-laki,1,2,SMA,sales,tidak memiliki rumah sendiri,1
Siti Santoso,36,sudah menikah,55091,laki-laki,4,0,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,3
Lina Mahendra,47,belum menikah,91337,perempuan,2,0,S2,management,memiliki rumah sendiri,2
Fitri Rachman,45,sudah menikah,106072,laki-laki,3,0,SMA,clerical work,memiliki rumah sendiri,2
Budi Rachman,55,belum menikah,59658,laki-laki,5,0,S3,skilled manual work,tidak memiliki rumah sendiri,0
Wati Santoso,37,sudah menikah,126821,perempuan,0,1,SMA,skilled manual work,tidak memiliki rumah sendiri,1
Zainab Wahyuni,68,sudah menikah,134440,laki-laki,0,0,S2,skilled manual work,memiliki rumah sendiri,3
Fitri Rachman,44,belum menikah,68277,perempuan,4,3,S3,unskilled manual work,memiliki rumah sendiri,0
Agus Muliawan,34,belum menikah,140820,laki-laki,2,4,Post-graduate,skilled manual work,memiliki rumah sendiri,3
Gita Wahyuni,56,belum menikah,138207,perempuan,4,0,SMA,professional,memiliki rumah sendiri,0
Yusuf Haryanto,44,sudah menikah,43461,laki-laki,0,1,Post-graduate,sales,memiliki rumah sendiri,2
Joko Susanto,64,sudah menikah,60039,laki-laki,3,0,S1,clerical work,memiliki rumah sendiri,1
Lina Setiawan,48,sudah menikah,127323,perempuan,1,5,SMA,professional,memiliki rumah sendiri,2
Vina Hakim,56,sudah menikah,25812,laki-laki,5,5,Post-graduate,sales,tidak memiliki rumah sendiri,0
Rizki Purnomo,53,sudah menikah,115224,laki-laki,1,0,Post-graduate,management,memiliki rumah sendiri,0
Zainab Wahyuni,35,sudah menikah,75476,laki-laki,0,0,Post-graduate,clerical work,tidak memiliki rumah sendiri,1
Kartini Wijaya,68,belum menikah,145879,perempuan,1,0,S2,sales,memiliki rumah sendiri,2
Budi Purnomo,25,sudah menikah,142391,perempuan,4,1,S2,clerical work,memiliki rumah sendiri,0
Usman Putra,31,sudah menikah,70084,perempuan,5,0,S3,sales,memiliki rumah sendiri,3
Rizki Setiawan,36,belum menikah,63315,perempuan,5,3,S1,skilled manual work,tidak memiliki rumah sendiri,1
Hadi Hidayat,21,sudah menikah,93204,laki-laki,1,0,S1,management,memiliki rumah sendiri,3
Indra Fauzan,43,sudah menikah,118754,laki-laki,4,3,S3,sales,memiliki rumah sendiri,2
Usman Anggraini,52,belum menikah,114958,laki-laki,4,2,S2,management,memiliki rumah sendiri,2
Zainab Utomo,24,sudah menikah,126869,perempuan,0,2,Post-graduate,clerical work,memiliki rumah sendiri,0
Zainab Fauzan,48,belum menikah,58190,perempuan,1,0,S1,clerical work,tidak memiliki rumah sendiri,0
Putri Hidayat,49,belum menikah,147233,perempuan,2,0,SMA,clerical work,memiliki rumah sendiri,0
Cahyadi Setiawan,29,sudah menikah,61530,laki-laki,3,0,Post-graduate,unskilled manual work,memiliki rumah sendiri,1
Agus Wibowo,38,sudah menikah,33528,laki-laki,2,2,S3,professional,tidak memiliki rumah sendiri,3
Budi Pratama,21,sudah menikah,50161,perempuan,0,2,S1,management,memiliki rumah sendiri,1
Zainab Wibowo,29,sudah menikah,116522,perempuan,2,0,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,0
Agus Setiawan,44,sudah menikah,59317,laki-laki,3,1,Post-graduate,sales,tidak memiliki rumah sendiri,2
Yusuf Fauzan,57,belum menikah,95766,laki-laki,5,1,Post-graduate,professional,memiliki rumah sendiri,1
Wati Putra,37,sudah menikah,84275,laki-laki,4,0,SMA,skilled manual work,memiliki rumah sendiri,0
Zainab Santoso,62,sudah menikah,125888,laki-laki,2,2,Post-graduate,management,memiliki rumah sendiri,1
Wati Wibowo,32,belum menikah,105909,perempuan,1,2,S3,unskilled manual work,memiliki rumah sendiri,0
Hadi Pratama,38,sudah menikah,133200,laki-laki,1,0,S3,clerical work,tidak memiliki rumah sendiri,3
Cahyadi Hakim,56,belum menikah,148212,perempuan,5,0,S3,skilled manual work,memiliki rumah sendiri,0
Siti Anggraini,32,belum menikah,129284,laki-laki,3,0,S2,management,tidak memiliki rumah sendiri,3
Rizki Wijaya,34,belum menikah,142824,perempuan,3,5,Post-graduate,professional,tidak memiliki rumah sendiri,0
Putri Santoso,44,belum menikah,89177,laki-laki,3,0,Post-graduate,management,tidak memiliki rumah sendiri,1
Agus Purnomo,19,sudah menikah,53045,laki-laki,0,0,S2,sales,memiliki rumah sendiri,3
Agus Mahendra,22,sudah menikah,112025,perempuan,3,3,Post-graduate,sales,memiliki rumah sendiri,0
Putri Wijaya,50,belum menikah,65961,laki-laki,3,1,SMA,management,tidak memiliki rumah sendiri,1
Joko Wijaya,60,sudah menikah,140360,perempuan,0,1,S2,professional,tidak memiliki rumah sendiri,3
Usman Saputra,44,belum menikah,22100,perempuan,3,2,S3,professional,tidak memiliki rumah sendiri,1
Fitri Muliawan,55,belum menikah,148039,laki-laki,5,1,S1,professional,memiliki rumah sendiri,1
Yusuf Muliawan,66,belum menikah,39131,perempuan,3,1,Post-graduate,professional,memiliki rumah sendiri,2
Joko Saputra,46,sudah menikah,127411,laki-laki,3,0,S1,unskilled manual work,tidak memiliki rumah sendiri,3
Yusuf Haryanto,51,belum menikah,87260,perempuan,1,1,S1,clerical work,tidak memiliki rumah sendiri,2
Budi Susanto,34,belum menikah,85942,laki-laki,2,2,S2,management,memiliki rumah sendiri,1
Nina Putra,27,sudah menikah,66162,laki-laki,0,0,Post-graduate,clerical work,memiliki rumah sendiri,2
Yusuf Mahendra,49,sudah menikah,32923,laki-laki,0,1,S1,sales,memiliki rumah sendiri,0
Dewi Haryanto,53,sudah menikah,60295,perempuan,2,0,S2,sales,memiliki rumah sendiri,3
Nina Haryanto,38,sudah menikah,44067,laki-laki,5,2,SMA,management,memiliki rumah sendiri,3
Fitri Wahyuni,64,belum menikah,104376,laki-laki,1,0,SMA,professional,tidak memiliki rumah sendiri,2
Hadi Hakim,45,belum menikah,41507,laki-laki,3,2,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,1
Gita Muliawan,24,belum menikah,111357,laki-laki,4,1,SMA,professional,tidak memiliki rumah sendiri,0
Putri Utomo,28,belum menikah,23381,perempuan,5,1,SMA,unskilled manual work,tidak memiliki rumah sendiri,0
Zainab Wijaya,43,sudah menikah,149567,perempuan,1,0,SMA,professional,tidak memiliki rumah sendiri,3
Indra Fauzan,34,sudah menikah,66384,laki-laki,0,0,S2,management,tidak memiliki rumah sendiri,1
Taufik Setiawan,52,sudah menikah,30025,laki-laki,5,5,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,0
Budi Anggraini,28,belum menikah,120845,laki-laki,4,1,S1,skilled manual work,memiliki rumah sendiri,2
Joko Utomo,60,belum menikah,143805,perempuan,5,2,S2,professional,memiliki rumah sendiri,0
Yusuf Susanto,34,belum menikah,51798,laki-laki,1,0,S1,skilled manual work,memiliki rumah sendiri,1
Hadi Susanto,41,belum menikah,20922,laki-laki,5,0,S3,management,tidak memiliki rumah sendiri,0
Kartini Fauzan,50,sudah menikah,32618,laki-laki,2,1,S3,management,tidak memiliki rumah sendiri,2
Joko Purnomo,39,sudah menikah,129416,perempuan,5,0,S3,professional,memiliki rumah sendiri,0
Joko Utomo,66,belum menikah,60157,laki-laki,0,0,SMA,clerical work,memiliki rumah sendiri,2
Kartini Saputra,37,sudah menikah,64458,perempuan,2,0,SMA,clerical work,memiliki rumah sendiri,2
Hadi Saputra,42,belum menikah,62370,perempuan,5,3,S3,professional,memiliki rumah sendiri,1
Gita Fauzan,29,sudah menikah,132980,perempuan,4,0,S1,management,memiliki rumah sendiri,1
Lina Susanto,31,sudah menikah,55069,perempuan,4,4,S3,clerical work,tidak memiliki rumah sendiri,2
Agus Fauzan,64,sudah menikah,40971,laki-laki,4,0,S3,skilled manual work,tidak memiliki rumah sendiri,3
Siti Hidayat,57,belum menikah,21309,laki-laki,0,0,S1,skilled manual work,memiliki rumah sendiri,3
Cahyadi Setiawan,28,sudah menikah,124486,laki-laki,3,1,S3,skilled manual work,memiliki rumah sendiri,2
Rizki Purnomo,42,sudah menikah,81593,laki-laki,0,1,Post-graduate,sales,memiliki rumah sendiri,2
Taufik Wijaya,30,belum menikah,80847,perempuan,3,1,S1,skilled manual work,tidak memiliki rumah sendiri,3
Nina Putra,66,belum menikah,58996,laki-laki,2,1,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,2
Fitri Utomo,50,sudah menikah,26933,laki-laki,5,0,S2,clerical work,tidak memiliki rumah sendiri,0
Putri Santoso,48,belum menikah,64951,laki-laki,4,0,S3,clerical work,memiliki rumah sendiri,3
Putri Haryanto,52,sudah menikah,86754,laki-laki,2,0,S3,management,tidak memiliki rumah sendiri,3
Putri Saputra,24,sudah menikah,91685,laki-laki,0,1,S1,management,memiliki rumah sendiri,2
Rizki Pratama,44,sudah menikah,88002,laki-laki,4,0,S1,skilled manual work,memiliki rumah sendiri,0
Eko Susanto,19,sudah menikah,148881,perempuan,4,1,SMA,management,memiliki rumah sendiri,3
Dewi Purnomo,41,sudah menikah,36979,perempuan,3,0,S3,unskilled manual work,tidak memiliki rumah sendiri,0
Lina Utomo,62,sudah menikah,89463,perempuan,4,0,S1,professional,tidak memiliki rumah sendiri,1
Taufik Rachman,43,sudah menikah,66880,perempuan,5,3,S1,clerical work,tidak memiliki rumah sendiri,2
Dewi Putra,30,sudah menikah,127576,laki-laki,2,3,S2,management,tidak memiliki rumah sendiri,1
Wati Hidayat,36,sudah menikah,48043,perempuan,3,1,S2,professional,tidak memiliki rumah sendiri,1
Hadi Haryanto,51,belum menikah,107441,laki-laki,2,3,S1,sales,tidak memiliki rumah sendiri,0
Fitri Putra,30,belum menikah,50159,laki-laki,5,0,S3,unskilled manual work,memiliki rumah sendiri,1
Putri Wijaya,56,sudah menikah,42247,laki-laki,4,0,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,3
Budi Fauzan,38,belum menikah,104080,laki-laki,2,0,S3,management,memiliki rumah sendiri,2
Vina Wahyuni,38,belum menikah,138222,perempuan,3,3,S3,skilled manual work,memiliki rumah sendiri,3
Joko Wahyuni,57,sudah menikah,77572,perempuan,1,0,SMA,skilled manual work,memiliki rumah sendiri,1
Eko Wahyuni,55,sudah menikah,107724,laki-laki,1,1,S2,skilled manual work,memiliki rumah sendiri,2
Zainab Saputra,20,belum menikah,141351,perempuan,1,0,S2,sales,memiliki rumah sendiri,3
Dewi Wibowo,52,sudah menikah,23151,perempuan,2,5,SMA,skilled manual work,memiliki rumah sendiri,1
Zainab Anggraini,25,sudah menikah,103347,perempuan,1,0,S2,professional,tidak memiliki rumah sendiri,1
Eko Wahyuni,55,belum menikah,108597,laki-laki,2,1,S2,unskilled manual work,tidak memiliki rumah sendiri,1
Maya Sari,18,belum menikah,70634,perempuan,2,1,SMA,skilled manual work,memiliki rumah sendiri,2
Indra Rachman,55,sudah menikah,56427,laki-laki,2,0,S1,clerical work,memiliki rumah sendiri,1
Fitri Santoso,69,belum menikah,71267,laki-laki,0,1,S1,sales,tidak memiliki rumah sendiri,3
Vina Wijaya,53,belum menikah,80446,laki-laki,1,2,S2,unskilled manual work,memiliki rumah sendiri,1
Taufik Susanto,48,belum menikah,83115,perempuan,2,3,S3,unskilled manual work,tidak memiliki rumah sendiri,0
Siti Santoso,33,sudah menikah,107289,laki-laki,4,0,S1,management,memiliki rumah sendiri,1
Wati Wibowo,31,belum menikah,132161,laki-laki,5,5,S3,unskilled manual work,tidak memiliki rumah sendiri,1
Kartini Pratama,29,sudah menikah,70078,laki-laki,2,4,S3,professional,tidak memiliki rumah sendiri,2
Nina Anggraini,69,belum menikah,36983,laki-laki,3,2,SMA,clerical work,memiliki rumah sendiri,2
Agus Hakim,61,belum menikah,131118,laki-laki,5,0,S2,clerical work,memiliki rumah sendiri,2
Vina Hakim,28,belum menikah,145914,laki-laki,3,0,S3,unskilled manual work,tidak memiliki rumah sendiri,0
Wati Rachman,38,belum menikah,98686,perempuan,4,2,S3,unskilled manual work,tidak memiliki rumah sendiri,0
Agus Mahendra,18,belum menikah,141322,perempuan,1,1,Post-graduate,unskilled manual work,memiliki rumah sendiri,0
Vina Hidayat,19,belum menikah,101352,perempuan,2,2,S1,unskilled manual work,tidak memiliki rumah sendiri,2
Gita Wahyuni,39,belum menikah,45178,laki-laki,0,1,S3,management,tidak memiliki rumah sendiri,1
Taufik Anggraini,62,sudah menikah,126398,laki-laki,5,0,Post-graduate,professional,memiliki rumah sendiri,2
Kartini Setiawan,18,belum menikah,119330,laki-laki,3,1,S3,management,memiliki rumah sendiri,2
Taufik Hidayat,30,sudah menikah,146751,perempuan,2,4,S3,skilled manual work,tidak memiliki rumah sendiri,0
Dewi Saputra,69,belum menikah,138022,laki-laki,1,0,S2,professional,memiliki rumah sendiri,1
Fitri Santoso,47,belum menikah,116998,perempuan,2,0,SMA,skilled manual work,tidak memiliki rumah sendiri,2
Hadi Setiawan,68,belum menikah,126432,laki-laki,5,2,S1,skilled manual work,memiliki rumah sendiri,0
Dewi Muliawan,33,sudah menikah,87465,laki-laki,3,3,S3,skilled manual work,tidak memiliki rumah sendiri,3
Lina Santoso,56,belum menikah,39754,laki-laki,1,0,Post-graduate,sales,tidak memiliki rumah sendiri,1
Budi Setiawan,18,belum menikah,55248,perempuan,0,1,S2,skilled manual work,memiliki rumah sendiri,2
Dewi Muliawan,40,sudah menikah,143627,perempuan,5,1,SMA,management,memiliki rumah sendiri,2
Maya Santoso,56,belum menikah,27954,perempuan,2,2,S3,skilled manual work,tidak memiliki rumah sendiri,3
Budi Hidayat,52,belum menikah,63286,laki-laki,2,4,S3,professional,memiliki rumah sendiri,2
Yusuf Anggraini,40,belum menikah,95385,laki-laki,5,0,S3,clerical work,memiliki rumah sendiri,2
Zainab Saputra,58,belum menikah,125060,perempuan,3,2,S1,management,tidak memiliki rumah sendiri,1
Dewi Rachman,63,sudah menikah,146133,laki-laki,0,2,SMA,clerical work,tidak memiliki rumah sendiri,3
Maya Fauzan,32,belum menikah,36583,perempuan,5,0,S1,unskilled manual work,tidak memiliki rumah sendiri,1
Cahyadi Rachman,38,sudah menikah,36312,perempuan,4,1,S2,sales,memiliki rumah sendiri,2
Usman Putra,36,belum menikah,52144,laki-laki,4,3,SMA,professional,memiliki rumah sendiri,1
Maya Utomo,45,belum menikah,126097,laki-laki,4,1,S1,management,tidak memiliki rumah sendiri,3
Budi Utomo,64,belum menikah,144276,perempuan,0,2,S2,unskilled manual work,memiliki rumah sendiri,1
Indra Putra,41,belum menikah,43014,laki-laki,4,4,S2,sales,memiliki rumah sendiri,2
Maya Susanto,34,sudah menikah,115538,laki-laki,3,0,SMA,sales,memiliki rumah sendiri,3
Budi Hidayat,35,sudah menikah,125564,laki-laki,3,0,S1,skilled manual work,memiliki rumah sendiri,3
Joko Utomo,52,sudah menikah,45285,perempuan,0,0,SMA,skilled manual work,memiliki rumah sendiri,2
Usman Setiawan,65,belum menikah,101755,perempuan,0,1,SMA,unskilled manual work,tidak memiliki rumah sendiri,0
Fitri Wijaya,55,sudah menikah,102808,perempuan,1,3,Post-graduate,unskilled manual work,memiliki rumah sendiri,0
Usman Haryanto,19,belum menikah,24293,laki-laki,5,0,Post-graduate,sales,memiliki rumah sendiri,2
Nina Saputra,22,belum menikah,95180,laki-laki,0,4,Post-graduate,management,memiliki rumah sendiri,3
Eko Sari,21,belum menikah,53882,laki-laki,4,0,S3,clerical work,tidak memiliki rumah sendiri,1
Joko Saputra,42,belum menikah,107725,laki-laki,4,0,Post-graduate,sales,tidak memiliki rumah sendiri,0
Eko Pratama,41,belum menikah,112256,perempuan,4,0,S2,skilled manual work,tidak memiliki rumah sendiri,3
Kartini Setiawan,28,belum menikah,68924,laki-laki,2,2,Post-graduate,management,tidak memiliki rumah sendiri,3
Zainab Sari,40,sudah menikah,132204,perempuan,4,2,Post-graduate,clerical work,memiliki rumah sendiri,2
Wati Fauzan,23,sudah menikah,74709,laki-laki,5,0,S3,management,memiliki rumah sendiri,3
Lina Sari,64,belum menikah,58706,perempuan,1,1,S3,skilled manual work,tidak memiliki rumah sendiri,3
Usman Wahyuni,68,sudah menikah,85883,perempuan,4,2,SMA,unskilled manual work,memiliki rumah sendiri,1
Cahyadi Mahendra,22,sudah menikah,20350,perempuan,2,1,S3,sales,tidak memiliki rumah sendiri,2
Putri Fauzan,64,belum menikah,109325,perempuan,3,0,S2,management,tidak memiliki rumah sendiri,0
Eko Hakim,33,belum menikah,53173,laki-laki,4,1,SMA,clerical work,tidak memiliki rumah sendiri,1
Agus Setiawan,46,belum menikah,27024,laki-laki,2,1,S3,professional,memiliki rumah sendiri,3
Zainab Setiawan,65,belum menikah,120511,perempuan,5,0,Post-graduate,management,memiliki rumah sendiri,3
Budi Saputra,32,belum menikah,51786,laki-laki,3,1,Post-graduate,professional,tidak memiliki rumah sendiri,3
Gita Purnomo,45,sudah menikah,137589,laki-laki,0,1,S3,clerical work,tidak memiliki rumah sendiri,2
Cahyadi Hidayat,40,belum menikah,72311,laki-laki,0,2,S1,skilled manual work,memiliki rumah sendiri,0
Lina Utomo,31,sudah menikah,26962,laki-laki,4,1,SMA,unskilled manual work,tidak memiliki rumah sendiri,1
Wati Utomo,64,sudah menikah,147331,laki-laki,3,0,SMA,management,memiliki rumah sendiri,0
Taufik Saputra,68,belum menikah,127817,perempuan,0,0,Post-graduate,sales,memiliki rumah sendiri,3
Maya Wijaya,64,sudah menikah,31523,laki-laki,1,1,S1,management,tidak memiliki rumah sendiri,0
Putri Wibowo,39,sudah menikah,98679,perempuan,5,1,SMA,skilled manual work,memiliki rumah sendiri,1
Nina Haryanto,64,belum menikah,114248,perempuan,5,0,S1,clerical work,tidak memiliki rumah sendiri,0
Gita Wahyuni,32,belum menikah,90653,laki-laki,0,0,Post-graduate,professional,tidak memiliki rumah sendiri,0
Rizki Santoso,65,belum menikah,74809,perempuan,4,0,S3,management,memiliki rumah sendiri,3
Eko Saputra,53,sudah menikah,144911,laki-laki,2,0,SMA,clerical work,tidak memiliki rumah sendiri,1
Indra Rachman,46,sudah menikah,43710,perempuan,0,2,S1,skilled manual work,tidak memiliki rumah sendiri,0
Joko Muliawan,69,sudah menikah,97371,perempuan,1,5,S3,clerical work,tidak memiliki rumah sendiri,3
Putri Hidayat,49,sudah menikah,43614,laki-laki,0,1,SMA,management,tidak memiliki rumah sendiri,1
Usman Susanto,29,belum menikah,124558,laki-laki,2,0,S2,sales,memiliki rumah sendiri,0
Indra Mahendra,34,belum menikah,47742,laki-laki,1,0,S1,unskilled manual work,memiliki rumah sendiri,1
Kartini Haryanto,23,belum menikah,79904,laki-laki,5,0,SMA,sales,tidak memiliki rumah sendiri,2
Dewi Fauzan,49,belum menikah,73539,perempuan,2,1,SMA,sales,memiliki rumah sendiri,2
Wati Sari,46,belum menikah,50091,laki-laki,1,0,S1,management,tidak memiliki rumah sendiri,2
Siti Fauzan,39,sudah menikah,129116,perempuan,4,0,S2,professional,memiliki rumah sendiri,1
Nina Wahyuni,37,sudah menikah,149982,perempuan,3,2,S1,unskilled manual work,tidak memiliki rumah sendiri,3
Maya Wahyuni,18,sudah menikah,30645,perempuan,1,1,S2,sales,tidak memiliki rumah sendiri,3
Vina Mahendra,39,belum menikah,113006,perempuan,4,2,Post-graduate,clerical work,memiliki rumah sendiri,0
Yusuf Wahyuni,22,belum menikah,100100,perempuan,4,0,S2,skilled manual work,memiliki rumah sendiri,1
Eko Muliawan,48,sudah menikah,88498,perempuan,0,4,S1,clerical work,memiliki rumah sendiri,1
Hadi Mahendra,35,sudah menikah,129136,laki-laki,1,3,S3,professional,tidak memiliki rumah sendiri,3
Hadi Saputra,60,belum menikah,42426,laki-laki,5,1,SMA,unskilled manual work,tidak memiliki rumah sendiri,1
Maya Wijaya,28,belum menikah,124533,laki-laki,2,2,Post-graduate,sales,tidak memiliki rumah sendiri,0
Hadi Hakim,52,belum menikah,134080,laki-laki,1,1,S2,skilled manual work,memiliki rumah sendiri,1
Siti Hakim,33,belum menikah,41127,perempuan,4,0,S3,management,memiliki rumah sendiri,0
Wati Haryanto,55,belum menikah,140892,laki-laki,0,0,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,0
Yusuf Rachman,51,belum menikah,54882,laki-laki,5,5,SMA,unskilled manual work,tidak memiliki rumah sendiri,1
Usman Fauzan,51,sudah menikah,23509,laki-laki,0,0,S2,skilled manual work,tidak memiliki rumah sendiri,1
Maya Purnomo,63,belum menikah,95407,perempuan,0,0,Post-graduate,unskilled manual work,memiliki rumah sendiri,3
Agus Purnomo,29,belum menikah,113361,laki-laki,1,1,S2,clerical work,tidak memiliki rumah sendiri,0
Zainab Putra,34,sudah menikah,36561,laki-laki,1,1,S1,unskilled manual work,memiliki rumah sendiri,3
Maya Anggraini,43,sudah menikah,138239,laki-laki,1,1,Post-graduate,sales,memiliki rumah sendiri,2
Cahyadi Pratama,35,sudah menikah,133971,laki-laki,0,0,Post-graduate,unskilled manual work,memiliki rumah sendiri,0
Budi Haryanto,46,sudah menikah,95385,laki-laki,1,1,S3,clerical work,tidak memiliki rumah sendiri,1
Rizki Muliawan,42,belum menikah,56418,laki-laki,2,5,SMA,unskilled manual work,tidak memiliki rumah sendiri,2
Taufik Setiawan,60,belum menikah,37065,laki-laki,3,0,S3,professional,tidak memiliki rumah sendiri,0
Indra Muliawan,42,belum menikah,121667,laki-laki,2,3,S1,clerical work,tidak memiliki rumah sendiri,2
Fitri Wibowo,62,sudah menikah,96775,laki-laki,3,4,S1,professional,tidak memiliki rumah sendiri,0
Gita Fauzan,35,belum menikah,97943,perempuan,2,0,Post-graduate,skilled manual work,memiliki rumah sendiri,3
Nina Haryanto,37,sudah menikah,88484,perempuan,2,3,S2,sales,tidak memiliki rumah sendiri,3
Lina Muliawan,67,sudah menikah,125846,perempuan,1,1,S3,clerical work,memiliki rumah sendiri,2
